benchmarks/schuppan/O1formula/O1formula8,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula40.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula300.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula500.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula8.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula2.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula20.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula7.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula200.negated,0.009,0.064,0.073,sat
benchmarks/schuppan/O1formula/O1formula30,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula10.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula60.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula1000,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula4.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula700,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula200,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula30.negated,0.016,0.005,0.021,sat
benchmarks/schuppan/O1formula/O1formula2,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula70,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula20,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula50,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula7,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula5,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula700.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula100,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula900.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula600,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula300,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula70.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula600.negated,0,unknow,60,Killed
benchmarks/schuppan/O1formula/O1formula3.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_2,0.006,0.004,0.01,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_10.negated,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_1.negated,0.007,0.003,0.01,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_6,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_5.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_4,0.001,0.004,0.005,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_8,0.008,0.004,0.012,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_5,0.003,0.004,0.007,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_10,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_2.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_3,0.007,0.005,0.012,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_6.negated,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_4.negated,0.002,0.003,0.005,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_1,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_8.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_3.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_7.negated,0.002,0.003,0.005,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_9,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_7,0.008,0.005,0.013,sat
benchmarks/rozier/formulas/n3/P0.95/L40/P0.95N3L40_9.negated,0.003,0.004,0.007,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_3.negated,0.008,0.003,0.011,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_4.negated,0.003,0.003,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_8.negated,0.003,0.003,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_10.negated,0.004,0.003,0.007,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_1,0.003,0.005,0.008,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_6.negated,0.013,0.004,0.017,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_1.negated,0.002,0.003,0.005,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_9,0.003,0.004,0.007,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_3,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_7,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_6,0.001,0.004,0.005,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_5.negated,0.003,0.004,0.007,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_4,0.001,0.005,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_2,0.016,0.005,0.021,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_9.negated,0.008,0.003,0.011,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_5,0.001,0.004,0.005,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_10,0.008,0.004,0.012,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_7.negated,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_2.negated,0.003,0.003,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L10/P0.95N3L10_8,0.002,0.006,0.008,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_6.negated,0.017,0.003,0.02,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_7,0.01,0.005,0.015,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_1.negated,0.01,0.003,0.013,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_6,0.003,0.005,0.008,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_4.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_5.negated,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_2.negated,0,unknow,60,Killed
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_4,0.002,0.004,0.006,sat
benchmarks/rozier/formulas/n3/P0.95/L20/P0.95N3L20_9,0,unknow,60,Killed
