dir;test;clauses;aaltafuc_unsat_core_cardinality;aaltafuc_timing;aaltafuc_terminated_OK;trppp_unsat_core_cardinality;trppp_timing;trppp_terminated_OK;ltlfuc_sat_unsat_core_cardinality;ltlfuc_sat_timing;ltlfuc_sat_terminated_OK;ltlfuc_bdd_unsat_core_cardinality;ltlfuc_bdd_timing;ltlfuc_bdd_terminated_OK;v_best_unsat_core_cardinality;v_best_timing;v_best_terminated_OK
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/rozier/formulas/n3/P0.5/L30;P0.5N3L30_8.negated;1;2;0.00042;True;4;5000;False;-1;10000;False;-1;10000;False;2;0.00042;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/50;N33;69;10;0.009586;True;8;5.782;True;-1;25.68;False;-1;10000;False;8;0.009586;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/80;N38;104;7;0.018145;True;4;1.92;True;-1;38.26;False;-1;10000;False;4;0.018145;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/50;N25;131;18;0.090889;True;11;356.106;True;-1;70.5;False;-1;10000;False;11;0.090889;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_f_l;lift_f_l_12;35;22;0.775472;True;-1;10000;False;-1;10000;False;-1;10000;False;22;0.775472;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/100;N41;130;11;0.064001;True;6;5.198;True;-1;42.82;False;-1;10000;False;6;0.064001;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/forobots;forobotsr1f0_FGn_re;6;2;0.005023;True;-1;10000;False;-1;6.76;False;3;1.08;True;2;0.005023;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/50;N28;65;10;0.014327;True;8;0.382;True;-1;20.08;False;-1;10000;False;8;0.014327;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/C100/60;N2;129;7;0.054123;True;-1;10000;False;-1;10000;False;-1;10000;False;7;0.054123;True
/AIJ-artifact/LTL-as-LTLf/benchmarks/benchmarks/alaska/lift/lift_b_f_l;lift_b_f_l_7;26;17;0.056468;True;-1;10000;False;-1;10000;False;-1;10000;False;17;0.056468;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/50;N7;64;11;0.02301;True;-1;10000;False;-1;22.81;False;-1;10000;False;11;0.02301;True
/AIJ-artifact/LTLf-specific/benchmarks/benchmarks_ltlf/LTLfRandomConjunction/V20/90;N18;112;8;0.015854;True;5;3.15;True;-1;38.35;False;-1;10000;False;5;0.015854;True
